frame_id,timestamp,driver,position,lap_number,gap_ahead_sec,gap_behind_sec,tire_compound,tire_age_laps,stint_length,drs_active,speed_kph,recent_pace_sec,pace_trend,relative_pace_delta,catch_time_laps,degradation_score,pit_window_open,track_status,safety_car
7,2024-09-01T14:09:55+00:00,PER,2,8,0.7,1.0,HARD,8,8,True,308.4,67.623,0.0547,-0.2642,2.65,-1e-05,False,GREEN FLAG,False
7,2024-09-01T14:09:55+00:00,HAM,3,8,1.0,1.3,SOFT,8,8,False,309.6,67.361,0.0543,-0.2621,3.82,-1e-05,False,GREEN FLAG,False
7,2024-09-01T14:09:55+00:00,RUS,4,8,1.3,1.6,MEDIUM,8,8,False,310.8,67.101,0.0539,-0.2601,5.0,-1e-05,False,GREEN FLAG,False
7,2024-09-01T14:09:55+00:00,LEC,5,8,1.6,1.9,SOFT,8,8,False,312.0,66.843,0.0535,-0.2581,6.2,-1e-05,False,GREEN FLAG,False
7,2024-09-01T14:09:55+00:00,SAI,6,8,1.9,,HARD,8,8,False,313.2,66.587,0.0531,-0.2561,7.42,-1e-05,False,GREEN FLAG,False
8,2024-09-01T14:11:20+00:00,VER,1,9,,0.8,MEDIUM,9,9,False,307.7,67.887,-0.0002,,,-0.00163,False,SAFETY CAR DEPLOYED,True
8,2024-09-01T14:11:20+00:00,PER,2,9,0.8,1.1,HARD,9,9,True,308.9,67.623,-0.0002,-0.2642,3.03,-0.00162,False,SAFETY CAR DEPLOYED,True
8,2024-09-01T14:11:20+00:00,HAM,3,9,1.1,1.4,SOFT,9,9,False,310.1,67.361,-0.0002,-0.2621,4.2,-0.00162,False,SAFETY CAR DEPLOYED,True
8,2024-09-01T14:11:20+00:00,RUS,4,9,1.4,1.7,MEDIUM,9,9,False,311.3,67.101,-0.0002,-0.2601,5.38,-0.00161,False,SAFETY CAR DEPLOYED,True
8,2024-09-01T14:11:20+00:00,LEC,5,9,1.7,2.0,SOFT,9,9,False,312.5,66.843,-0.0002,-0.2581,6.59,-0.00161,False,SAFETY CAR DEPLOYED,True
8,2024-09-01T14:11:20+00:00,SAI,6,9,2.0,,HARD,9,9,False,313.7,66.587,-0.0002,-0.2561,7.81,-0.0016,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,VER,1,10,,0.6,MEDIUM,10,10,False,308.2,67.887,-0.1105,,,-0.00325,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,PER,2,10,0.6,0.9,HARD,10,10,True,309.4,67.623,-0.1096,-0.2642,2.27,-0.00324,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,HAM,3,10,0.9,1.2,SOFT,10,10,True,310.6,67.361,-0.1088,-0.2621,3.43,-0.00322,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,RUS,4,10,1.2,1.5,MEDIUM,10,10,False,311.8,67.101,-0.1079,-0.2601,4.61,-0.00321,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,LEC,5,10,1.5,1.8,SOFT,10,10,False,313.0,66.843,-0.1071,-0.2581,5.81,-0.0032,False,SAFETY CAR DEPLOYED,True
9,2024-09-01T14:12:45+00:00,SAI,6,10,1.8,,HARD,10,10,False,314.2,66.587,-0.1063,-0.2561,7.03,-0.00319,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,VER,1,11,,0.7,MEDIUM,11,11,False,306.2,67.887,0.0002,,,0.00326,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,PER,2,11,0.7,1.0,HARD,11,11,True,307.4,67.623,0.0002,-0.2642,2.65,0.00325,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,HAM,3,11,1.0,1.3,SOFT,11,11,False,308.6,67.361,0.0002,-0.2621,3.82,0.00324,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,RUS,4,11,1.3,1.6,MEDIUM,11,11,False,309.8,67.101,0.0002,-0.2601,5.0,0.00322,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,LEC,5,11,1.6,1.9,SOFT,11,11,False,311.0,66.843,0.0002,-0.2581,6.2,0.00321,False,SAFETY CAR DEPLOYED,True
10,2024-09-01T14:14:10+00:00,SAI,6,11,1.9,,HARD,11,11,False,312.2,66.587,0.0002,-0.2561,7.42,0.0032,False,SAFETY CAR DEPLOYED,True
11,2024-09-01T14:15:35+00:00,VER,1,12,,0.8,MEDIUM,12,12,False,306.7,67.887,0.0553,,,0.00162,False,GREEN FLAG,False
11,2024-09-01T14:15:35+00:00,PER,2,12,0.8,1.1,HARD,12,12,True,307.9,67.623,0.0549,-0.2642,3.03,0.00162,False,GREEN FLAG,False
11,2024-09-01T14:15:35+00:00,HAM,3,12,1.1,1.4,SOFT,12,12,False,309.1,67.361,0.0545,-0.2621,4.2,0.00161,False,GREEN FLAG,False
11,2024-09-01T14:15:35+00:00,RUS,4,12,1.4,1.7,MEDIUM,12,12,False,310.3,67.101,0.0541,-0.2601,5.38,0.00161,False,GREEN FLAG,False
11,2024-09-01T14:15:35+00:00,LEC,5,12,1.7,2.0,SOFT,12,12,False,311.5,66.843,0.0536,-0.2581,6.59,0.0016,False,GREEN FLAG,False
11,2024-09-01T14:15:35+00:00,SAI,6,12,2.0,,HARD,12,12,False,312.7,66.587,0.0532,-0.2561,7.81,0.00159,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,VER,1,13,,0.6,MEDIUM,13,13,False,307.2,67.887,0.0552,,,-1e-05,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,PER,2,13,0.6,0.9,HARD,13,13,True,308.4,67.623,0.0547,-0.2642,2.27,-1e-05,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,HAM,3,13,0.9,1.2,SOFT,13,13,True,309.6,67.361,0.0543,-0.2621,3.43,-1e-05,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,RUS,4,13,1.2,1.5,MEDIUM,13,13,False,310.8,67.101,0.0539,-0.2601,4.61,-1e-05,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,LEC,5,13,1.5,1.8,SOFT,13,13,False,312.0,66.843,0.0535,-0.2581,5.81,-1e-05,False,GREEN FLAG,False
12,2024-09-01T14:17:00+00:00,SAI,6,13,1.8,,HARD,13,13,False,313.2,66.587,0.0531,-0.2561,7.03,-1e-05,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,VER,1,14,,0.7,MEDIUM,14,14,False,307.7,67.887,-0.0002,,,-0.00163,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,PER,2,14,0.7,1.0,HARD,14,14,True,308.9,67.623,-0.0002,-0.2642,2.65,-0.00162,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,HAM,3,14,1.0,1.3,SOFT,14,14,False,310.1,67.361,-0.0002,-0.2621,3.82,-0.00162,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,RUS,4,14,1.3,1.6,MEDIUM,14,14,False,311.3,67.101,-0.0002,-0.2601,5.0,-0.00161,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,LEC,5,14,1.6,1.9,SOFT,14,14,False,312.5,66.843,-0.0002,-0.2581,6.2,-0.00161,False,GREEN FLAG,False
13,2024-09-01T14:18:25+00:00,SAI,6,14,1.9,,HARD,14,14,False,313.7,66.587,-0.0002,-0.2561,7.42,-0.0016,False,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,VER,1,15,,0.8,MEDIUM,15,15,False,308.2,67.887,-0.1105,,,-0.00325,False,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,PER,2,15,0.8,1.1,HARD,15,15,True,309.4,67.623,-0.1096,-0.2642,3.03,-0.00324,False,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,HAM,3,15,1.1,1.4,SOFT,15,15,False,310.6,67.361,-0.1088,-0.2621,4.2,-0.00322,True,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,RUS,4,15,1.4,1.7,MEDIUM,15,15,False,311.8,67.101,-0.1079,-0.2601,5.38,-0.00321,False,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,LEC,5,15,1.7,2.0,SOFT,15,15,False,313.0,66.843,-0.1071,-0.2581,6.59,-0.0032,True,GREEN FLAG,False
14,2024-09-01T14:19:50+00:00,SAI,6,15,2.0,,HARD,15,15,False,314.2,66.587,-0.1063,-0.2561,7.81,-0.00319,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,VER,1,16,,0.6,MEDIUM,1,1,False,306.2,67.887,0.0002,,,0.00326,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,PER,2,16,0.6,0.9,HARD,1,1,True,307.4,67.623,0.0002,-0.2642,2.27,0.00325,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,HAM,3,16,0.9,1.2,SOFT,1,1,True,308.6,67.361,0.0002,-0.2621,3.43,0.00324,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,RUS,4,16,1.2,1.5,MEDIUM,1,1,False,309.8,67.101,0.0002,-0.2601,4.61,0.00322,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,LEC,5,16,1.5,1.8,SOFT,1,1,False,311.0,66.843,0.0002,-0.2581,5.81,0.00321,False,GREEN FLAG,False
15,2024-09-01T14:21:15+00:00,SAI,6,16,1.8,,HARD,1,1,False,312.2,66.587,0.0002,-0.2561,7.03,0.0032,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,VER,1,17,,0.7,MEDIUM,2,2,False,306.7,67.887,0.0553,,,0.00162,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,PER,2,17,0.7,1.0,HARD,2,2,True,307.9,67.623,0.0549,-0.2642,2.65,0.00162,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,HAM,3,17,1.0,1.3,SOFT,2,2,False,309.1,67.361,0.0545,-0.2621,3.82,0.00161,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,RUS,4,17,1.3,1.6,MEDIUM,2,2,False,310.3,67.101,0.0541,-0.2601,5.0,0.00161,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,LEC,5,17,1.6,1.9,SOFT,2,2,False,311.5,66.843,0.0536,-0.2581,6.2,0.0016,False,GREEN FLAG,False
16,2024-09-01T14:22:40+00:00,SAI,6,17,1.9,,HARD,2,2,False,312.7,66.587,0.0532,-0.2561,7.42,0.00159,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,VER,1,18,,0.8,MEDIUM,3,3,False,307.2,67.887,0.0552,,,-1e-05,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,PER,2,18,0.8,1.1,HARD,3,3,True,308.4,67.623,0.0547,-0.2642,3.03,-1e-05,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,HAM,3,18,1.1,1.4,SOFT,3,3,False,309.6,67.361,0.0543,-0.2621,4.2,-1e-05,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,RUS,4,18,1.4,1.7,MEDIUM,3,3,False,310.8,67.101,0.0539,-0.2601,5.38,-1e-05,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,LEC,5,18,1.7,2.0,SOFT,3,3,False,312.0,66.843,0.0535,-0.2581,6.59,-1e-05,False,GREEN FLAG,False
17,2024-09-01T14:24:05+00:00,SAI,6,18,2.0,,HARD,3,3,False,313.2,66.587,0.0531,-0.2561,7.81,-1e-05,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,VER,1,19,,0.6,MEDIUM,4,4,False,307.7,67.887,-0.0002,,,-0.00163,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,PER,2,19,0.6,0.9,HARD,4,4,True,308.9,67.623,-0.0002,-0.2642,2.27,-0.00162,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,HAM,3,19,0.9,1.2,SOFT,4,4,True,310.1,67.361,-0.0002,-0.2621,3.43,-0.00162,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,RUS,4,19,1.2,1.5,MEDIUM,4,4,False,311.3,67.101,-0.0002,-0.2601,4.61,-0.00161,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,LEC,5,19,1.5,1.8,SOFT,4,4,False,312.5,66.843,-0.0002,-0.2581,5.81,-0.00161,False,GREEN FLAG,False
18,2024-09-01T14:25:30+00:00,SAI,6,19,1.8,,HARD,4,4,False,313.7,66.587,-0.0002,-0.2561,7.03,-0.0016,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,VER,1,20,,0.7,MEDIUM,5,5,False,308.2,67.887,-0.1105,,,-0.00325,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,PER,2,20,0.7,1.0,HARD,5,5,True,309.4,67.623,-0.1096,-0.2642,2.65,-0.00324,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,HAM,3,20,1.0,1.3,SOFT,5,5,False,310.6,67.361,-0.1088,-0.2621,3.82,-0.00322,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,RUS,4,20,1.3,1.6,MEDIUM,5,5,False,311.8,67.101,-0.1079,-0.2601,5.0,-0.00321,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,LEC,5,20,1.6,1.9,SOFT,5,5,False,313.0,66.843,-0.1071,-0.2581,6.2,-0.0032,False,GREEN FLAG,False
19,2024-09-01T14:26:55+00:00,SAI,6,20,1.9,,HARD,5,5,False,314.2,66.587,-0.1063,-0.2561,7.42,-0.00319,False,GREEN FLAG,False
